Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 164 4188.12  1714.98 202.4696350 47.1529884    8.06    3.87 
 165 4799.77  1715.56 202.4571381 47.1529961    6.78    2.77 
 166 4444.12  1729.72 202.4644012 47.1531944    8.06    4.00 
 167 6421.47  1729.63 202.4240112 47.1531830    6.00    3.76 
 168 3098.75  1731.84 202.4918823 47.1532211    6.76    3.25 
 169 2422.22  1740.52 202.5056915 47.1533394    7.91    3.93 
 170 4624.04  1740.98 202.4607239 47.1533508    6.80    3.66 
 171 7228.98  1741.24 202.4075165 47.1533356    7.96    4.33 
 172 3605.47  1750.86 202.4815369 47.1534882    8.61    4.19 
 173 3891.72  1754.01 202.4756775 47.1535301    8.31    4.01 
 174 4306.95  1756.55 202.4672089 47.1535645    6.78    2.80 
 175 4376.61  1756.22 202.4657745 47.1535606    6.80    3.44 
 176 4177.91  1758.28 202.4698334 47.1535912    6.78    4.57 
 177 2907.86  1761.52 202.4957733 47.1536331    6.00    4.11 
 178 2791.80  1763.02 202.4981537 47.1536522    6.00    3.74 
 179 6794.49  1765.02 202.4163971 47.1536713    8.06    4.10 
 180 6975.41  1766.49 202.4127045 47.1536903    8.36    4.50 
 181 4702.26  1767.98 202.4591370 47.1537247    6.02    3.44 
 182 2951.99  1770.18 202.4948730 47.1537514    6.54    3.78 
 183 7493.36  1771.53 202.4021149 47.1537552    8.06    5.46 
 184 7514.74  1776.79 202.4016876 47.1538277    6.80    4.03 
 185 2898.50  1778.06 202.4959717 47.1538620    6.00    4.04 
 186 3043.74  1779.00 202.4930115 47.1538773    6.70    3.29 
 187 6596.22  1781.35 202.4204407 47.1539001    8.41    4.30 
 188 4001.20  1781.92 202.4734497 47.1539192    6.78    3.01 
 189 2048.81  1785.92 202.5133209 47.1539650    8.06    3.98 
 190 2983.82  1788.66 202.4942322 47.1540108    6.78    3.37 
 191 4490.31  1788.96 202.4634552 47.1540146    6.82    3.65 
 192 4510.87  1793.67 202.4630432 47.1540833    6.72    2.99 
 193 2875.42  1797.23 202.4964447 47.1541290    6.46    3.38 
 194 2970.05  1797.73 202.4945068 47.1541367    6.90    3.39 
 195 7267.04  1799.57 202.4067383 47.1541443    8.66    4.17 
 196 3984.55  1801.27 202.4737854 47.1541862    6.46    3.52 
 197 5305.08  1807.02 202.4468231 47.1542664    6.78    2.93 
 198 3734.21  1810.73 202.4788971 47.1543198    6.78    2.88 
 199 3677.04  1812.16 202.4800720 47.1543388    6.76    3.44 
 200 3048.93  1813.44 202.4929047 47.1543541    6.42    3.39 
 201 4569.19  1816.55 202.4618530 47.1543999    7.00    3.65 
 202 2987.80  1816.70 202.4941406 47.1543999    6.88    4.30 
 203 3133.41  1817.16 202.4911804 47.1544075    6.74    2.86 
 204 4473.28  1826.57 202.4638062 47.1545372    6.78    3.21 
 205 4181.88  1828.21 202.4697571 47.1545601    6.72    2.87 
 206 5521.91  1830.46 202.4423828 47.1545906    6.88    3.64 
 207 3523.20  1831.44 202.4832153 47.1546059    6.58    2.82 
 208 4572.15  1833.88 202.4617920 47.1546402    6.72    2.85 
 209 3041.91  1837.08 202.4930420 47.1546822    6.78    3.29 
 210 3444.40  1840.86 202.4848175 47.1547356    8.81    4.42 
 211 4116.41  1843.24 202.4710999 47.1547699    8.36    4.45 
 212 5188.19  1846.57 202.4492035 47.1548157    8.06    4.07 
 213 3221.94  1847.00 202.4893646 47.1548195    8.36    4.03 
 214 7703.99  1849.69 202.3978119 47.1548347    6.78    3.46 
 215 4580.52  1852.04 202.4616089 47.1548920    6.94    3.29 
 216 4892.65  1852.11 202.4552460 47.1548920    6.76    3.55 
 217 2137.17  1854.23 202.5115204 47.1549149    7.96    4.23 
 218 4548.27  1855.45 202.4622803 47.1549377    8.06    3.90 
 219 3008.80  1859.57 202.4937134 47.1549950    6.94    3.60 
 220 4922.27  1859.31 202.4546356 47.1549911    8.06    4.25 
 221 4601.97  1864.66 202.4611816 47.1550674    6.92    4.12 
 222 7594.82  1867.31 202.4000549 47.1550827    6.80    3.74 
 223 2431.85  1870.29 202.5055084 47.1551399    7.81    3.99 
