Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
1993 2396.66  5017.15 202.5062561 47.1988487    8.06    3.97 
1994 1854.24  5018.38 202.5173340 47.1988602    6.52    2.88 
1995 2963.73  5018.50 202.4946594 47.1988716    6.84    3.16 
1996 5174.75  5018.50 202.4494629 47.1988716    7.28    3.58 
1997 3123.42  5021.14 202.4913940 47.1989059    8.66    4.10 
1998 5796.17  5020.59 202.4367523 47.1988945    6.00    3.96 
1999 3349.64  5022.48 202.4867706 47.1989250    6.76    3.61 
2000 3871.52  5022.44 202.4761047 47.1989250    6.90    3.76 
2001 5676.08  5023.65 202.4392090 47.1989403   10.28    5.49 
2002 3419.46  5026.00 202.4853363 47.1989746    6.82    3.70 
2003 4049.46  5025.35 202.4724579 47.1989670    6.84    3.69 
2004 4790.96  5025.81 202.4573059 47.1989746    8.06    3.87 
2005 4562.16  5029.45 202.4619904 47.1990242    6.78    4.02 
2006 2933.19  5030.94 202.4952850 47.1990433    6.80    3.30 
2007 3458.83  5037.09 202.4845428 47.1991310    7.68    5.30 
2008 2376.77  5039.07 202.5066528 47.1991539    8.46    4.28 
2009 2447.27  5038.68 202.5052185 47.1991463    7.58    4.29 
2010 4441.43  5039.07 202.4644470 47.1991577    6.56    3.84 
2011 3497.98  5040.86 202.4837341 47.1991806    6.78    3.99 
2012 5973.34  5044.54 202.4331360 47.1992264    6.72    2.96 
2013 6041.18  5045.11 202.4317474 47.1992340    8.06    3.97 
2014 2305.82  5047.62 202.5081024 47.1992722    8.36    4.41 
2015 6140.67  5047.90 202.4297180 47.1992722    8.46    4.76 
2016 4160.19  5049.81 202.4701996 47.1993065    6.50    4.46 
2017 4422.07  5050.16 202.4648438 47.1993103    6.54    3.79 
2018 4635.28  5049.58 202.4604950 47.1993027    6.84    4.12 
2019 4320.91  5050.88 202.4669189 47.1993217    6.78    4.36 
2020 5576.32  5050.72 202.4412537 47.1993141    8.06    4.28 
2021 1883.15  5052.66 202.5167542 47.1993370    6.68    2.96 
2022 4952.95  5051.83 202.4539948 47.1993332    8.01    3.97 
2023 2210.22  5054.54 202.5100555 47.1993675    7.96    4.28 
2024 4140.50  5057.64 202.4705963 47.1994171    8.06    4.79 
2025 3747.99  5059.24 202.4786224 47.1994362    6.68    3.48 
2026 3465.32  5064.15 202.4844055 47.1995049    7.28    4.30 
2027 5884.60  5064.18 202.4349518 47.1995010    6.86    3.19 
2028 6026.50  5069.59 202.4320526 47.1995735    6.78    4.05 
2029 1221.58  5071.06 202.5302734 47.1995888    8.06    4.05 
2030 5806.67  5070.80 202.4365387 47.1995926    6.48    3.47 
2031 3383.93  5072.29 202.4860687 47.1996193    6.78    2.82 
2032 4550.10  5073.65 202.4622345 47.1996384    6.48    3.98 
2033 3792.04  5078.69 202.4777222 47.1997070    6.72    3.77 
2034 4631.80  5078.86 202.4605560 47.1997108    6.82    3.93 
2035 3436.09  5080.31 202.4850006 47.1997299    7.91    4.15 
2036 2858.98  5082.84 202.4967957 47.1997643    6.88    3.33 
2037 4582.93  5083.72 202.4615631 47.1997795    6.86    4.52 
2038 5731.89  5083.10 202.4380646 47.1997643    6.84    2.87 
2039 2967.95  5085.66 202.4945679 47.1998024    8.06    4.00 
2040 3451.29  5086.36 202.4846954 47.1998138    6.96    3.95 
2041 5423.36  5086.08 202.4443817 47.1998062    8.31    3.96 
2042 5807.36  5086.17 202.4365234 47.1998062    6.40    3.65 
2043 7303.13  5085.94 202.4059448 47.1997910    8.31    4.53 
2044 4988.11  5088.18 202.4532776 47.1998405    8.86    4.54 
2045 2243.62  5089.75 202.5093842 47.1998558    6.70    3.74 
2046 2258.92  5095.31 202.5090637 47.1999321    6.56    4.08 
2047 3655.27  5096.33 202.4805145 47.1999512    6.54    3.26 
2048 2149.25  5099.62 202.5113068 47.1999931    7.12    3.73 
2049 3791.86  5099.61 202.4777374 47.1999969    6.54    4.13 
2050 1937.18  5102.06 202.5156403 47.2000237    6.96    3.24 
2051 7191.69  5100.76 202.4082336 47.1999969    8.36    3.95 
2052 3776.19  5102.95 202.4780426 47.2000465    6.78    3.54 
2053 4274.12  5101.95 202.4678650 47.2000313    6.78    3.69 
2054 5802.97  5104.07 202.4366150 47.2000542    6.52    3.05 
2055 3901.49  5106.54 202.4754944 47.2000961    6.88    3.53 
2056 3305.07  5106.75 202.4876862 47.2000961    7.86    3.73 
2057 3509.94  5109.44 202.4834900 47.2001343    6.52    3.31 
2058 4508.73  5108.42 202.4630737 47.2001228    6.60    4.39 
2059 3873.55  5112.56 202.4760590 47.2001801    6.96    3.60 
2060 6207.74  5111.59 202.4283447 47.2001572    8.31    4.04 
2061 7398.10  5114.01 202.4040070 47.2001801    8.06    4.00 
2062 1900.27  5117.81 202.5164032 47.2002411    6.64    2.91 
2063 4430.80  5119.20 202.4646606 47.2002716    6.38    4.78 
2064 2585.87  5121.28 202.5023804 47.2002945    8.46    4.68 
2065 6374.93  5121.00 202.4249268 47.2002869    8.06    3.85 
2066 3757.08  5122.44 202.4784393 47.2003174    6.76    3.91 
2067 3915.81  5122.19 202.4751892 47.2003136    6.82    3.29 
2068 5617.56  5121.41 202.4404144 47.2002983    6.38    3.57 
2069 6278.46  5122.98 202.4268951 47.2003136    8.06    4.04 
2070 2529.21  5124.11 202.5035400 47.2003365    6.84    3.91 
2071 4478.31  5127.71 202.4636993 47.2003899    9.70    5.81 
2072 5538.36  5127.43 202.4420319 47.2003822    8.81    4.46 
2073 5006.42  5128.44 202.4528961 47.2003975    7.14    3.60 
2074 4679.89  5130.33 202.4595795 47.2004242    7.96    4.37 
2075 3807.79  5132.21 202.4774017 47.2004509    6.02    3.88 
2076 7065.44  5132.56 202.4108124 47.2004395    6.72    3.46 
2077 2231.18  5136.33 202.5096283 47.2005043    6.10    3.45 
2078 1169.32  5140.45 202.5313416 47.2005501    6.78    3.08 
2079 5552.42  5141.87 202.4417419 47.2005806    8.01    4.02 
2080 3942.54  5142.84 202.4746552 47.2005997    7.96    4.84 
2081 4452.69  5143.63 202.4642181 47.2006111    6.70    3.96 
2082 4837.10  5143.89 202.4563599 47.2006111    8.06    4.46 
2083 2962.39  5147.13 202.4946899 47.2006569    8.41    4.35 
2084 4398.35  5146.73 202.4653320 47.2006531    6.58    3.84 
2085 5674.88  5147.42 202.4392395 47.2006569    9.38    5.41 
2086 4437.17  5148.90 202.4645386 47.2006836    6.56    3.89 
2087 4182.81  5149.96 202.4697418 47.2006989    6.58    4.11 
2088 3928.50  5154.18 202.4749298 47.2007561    6.86    3.45 
2089 2116.34  5155.25 202.5119781 47.2007637    7.86    4.19 
2090 4495.86  5154.90 202.4633331 47.2007675    6.82    3.26 
2091 2147.79  5156.56 202.5113373 47.2007828    7.91    4.01 
2092 2308.23  5156.15 202.5080566 47.2007790    6.92    3.79 
2093 3394.75  5156.48 202.4858551 47.2007866    6.86    4.07 
2094 5746.87  5156.51 202.4377594 47.2007828    6.84    3.05 
2095 5006.94  5157.94 202.4528961 47.2008095    6.90    3.41 
2096 2497.12  5160.42 202.5041962 47.2008400    8.01    4.51 
2097 3769.09  5161.46 202.4781952 47.2008591    9.38    5.59 
2098 3944.87  5161.92 202.4746094 47.2008629    7.63    4.71 
2099 4199.96  5162.90 202.4693909 47.2008781    6.68    4.03 
2100 5556.89  5162.85 202.4416504 47.2008743    7.86    4.19 
2101 4276.59  5164.22 202.4678192 47.2008972    6.46    3.76 
2102 4346.52  5163.52 202.4663849 47.2008858    6.72    3.60 
2103 3712.06  5165.09 202.4793549 47.2009087    7.58    4.15 
2104 1558.38  5167.49 202.5233917 47.2009315    7.00    3.38 
2105 3583.41  5167.04 202.4819946 47.2009354    6.48    4.21 
2106 5952.38  5168.20 202.4335632 47.2009468    7.18    4.41 
2107 4166.63  5170.08 202.4700623 47.2009773    7.72    4.41 
2108 3373.02  5171.75 202.4862976 47.2010002    8.46    4.41 
2109 4428.90  5171.11 202.4647064 47.2009926    6.64    3.63 
2110 4598.15  5173.14 202.4612427 47.2010193    8.96    4.46 
2111 5762.73  5173.25 202.4374390 47.2010155    9.11    4.69 
2112 5486.13  5174.15 202.4431000 47.2010307    8.06    4.84 
2113  392.70  5175.18 202.5472260 47.2010231    6.78    3.13 
2114 3287.59  5175.24 202.4880371 47.2010498    8.01    4.31 
2115 2790.83  5177.12 202.4981995 47.2010727    7.34    3.67 
2116 4373.60  5178.35 202.4658356 47.2010918    6.92    3.70 
2117 2453.52  5180.17 202.5050964 47.2011147    9.48    5.03 
2118 3573.14  5181.73 202.4822083 47.2011375    6.78    2.92 
2119 3897.15  5181.81 202.4755707 47.2011414    7.51    3.78 
2120 1821.52  5182.88 202.5180054 47.2011452    6.86    2.97 
2121 4333.05  5183.73 202.4666595 47.2011681    9.30    4.74 
2122 3448.47  5186.77 202.4847565 47.2012100    7.91    4.03 
2123 4644.37  5186.71 202.4602966 47.2012062    7.65    4.18 
2124 5967.93  5187.29 202.4332428 47.2012100    8.06    3.94 
2125 4282.56  5188.07 202.4676971 47.2012291    6.80    3.43 
2126 3771.09  5190.27 202.4781494 47.2012596    6.58    3.48 
2127 4367.02  5193.46 202.4659729 47.2013016    7.65    5.03 
2128 2680.64  5195.55 202.5004425 47.2013283    8.06    3.83 
2129 3821.66  5195.14 202.4771271 47.2013245    6.64    3.46 
2130 4423.49  5196.39 202.4648132 47.2013435    6.84    3.72 
2131 3394.43  5198.08 202.4858551 47.2013664    7.76    4.43 
2132 6035.71  5198.37 202.4318542 47.2013626    8.06    3.97 
2133 3933.99  5202.43 202.4748230 47.2014275    6.64    3.61 
2134 5284.23  5201.93 202.4472198 47.2014160    6.60    3.28 
2135 2794.43  5204.43 202.4981232 47.2014503    6.86    3.78 
2136 4304.82  5206.72 202.4672394 47.2014847    6.58    3.49 
2137 5853.73  5205.80 202.4355774 47.2014694    9.16    4.84 
2138 4437.85  5207.69 202.4645233 47.2014999    6.64    3.39 
2139 4231.54  5210.48 202.4687347 47.2015381    6.60    3.58 
2140 5868.07  5210.24 202.4352875 47.2015305    8.71    4.65 
2141 4149.27  5211.69 202.4704285 47.2015572    6.78    4.07 
2142 3996.84  5213.14 202.4735413 47.2015762    6.86    3.50 
2143 4347.72  5214.83 202.4663696 47.2015991    6.52    3.67 
2144 1375.59  5216.33 202.5271301 47.2016068    8.41    4.30 
2145 3000.81  5219.47 202.4938965 47.2016602    7.96    4.06 
2146 4043.99  5225.15 202.4725800 47.2017441    6.76    3.91 
2147 3754.55  5227.42 202.4785004 47.2017746    6.68    3.52 
2148 1109.86  5229.39 202.5325623 47.2017860    7.54    4.28 
2149 4250.60  5230.45 202.4683533 47.2018166    6.58    4.10 
2150 1806.93  5231.21 202.5183105 47.2018166    6.96    3.35 
2151 2311.10  5232.21 202.5079956 47.2018356    8.01    4.15 
2152 7046.95  5233.79 202.4111786 47.2018471    8.81    4.35 
2153 3089.66  5235.50 202.4920807 47.2018852    8.86    4.36 
2154 4171.95  5236.00 202.4699554 47.2018929    6.54    3.46 
2155 4605.70  5235.78 202.4610901 47.2018890    8.06    4.17 
2156 4236.50  5237.45 202.4686432 47.2019119    6.86    3.97 
2157 4373.59  5237.74 202.4658356 47.2019157    6.86    3.91 
2158 3814.21  5240.30 202.4772797 47.2019539    6.88    3.92 
2159 4311.93  5242.43 202.4671021 47.2019844    6.82    3.56 
2160 2638.79  5245.16 202.5012970 47.2020149    8.36    4.31 
2161 5298.71  5245.23 202.4469299 47.2020187    6.52    3.10 
2162 7293.69  5245.63 202.4061432 47.2020073    6.78    3.02 
2163 1599.42  5248.03 202.5225525 47.2020493    7.86    3.73 
2164 4055.32  5249.57 202.4723511 47.2020836    6.72    3.44 
2165 1911.15  5253.22 202.5161743 47.2021217    6.86    4.00 
2166 4380.07  5253.88 202.4656982 47.2021408    6.38    3.85 
2167 3446.13  5256.92 202.4848022 47.2021828    8.06    3.87 
2168 3424.07  5259.18 202.4852448 47.2022133    6.82    2.92 
2169 4860.67  5258.29 202.4558868 47.2022018    6.58    3.26 
2170 3795.72  5260.54 202.4776459 47.2022324    6.78    5.09 
2171 3748.21  5263.60 202.4786224 47.2022781    9.44    5.29 
2172 1822.10  5268.07 202.5180054 47.2023277    8.36    4.09 
2173 7312.65  5268.58 202.4057465 47.2023277    8.61    4.39 
2174 5660.04  5270.02 202.4395447 47.2023621    6.70    3.41 
2175 4303.73  5272.18 202.4672699 47.2023964    6.78    3.31 
2176 5609.47  5272.23 202.4405670 47.2023926    6.02    3.89 
2177 3346.49  5273.55 202.4868317 47.2024155    8.86    4.98 
2178 4636.85  5273.50 202.4604492 47.2024155    6.38    3.46 
2179 4065.36  5279.16 202.4721375 47.2024918    6.58    3.83 
2180 1546.85  5280.30 202.5236206 47.2024956    7.91    4.22 
2181 4373.02  5281.44 202.4658508 47.2025261    6.78    4.07 
2182 1678.87  5282.27 202.5209198 47.2025261    8.06    4.04 
2183 3689.60  5282.77 202.4798279 47.2025414    8.76    4.74 
2184 4206.87  5282.36 202.4692383 47.2025375    8.01    4.46 
2185  879.48  5284.77 202.5372772 47.2025528    8.56    4.41 
2186 1717.49  5284.80 202.5201416 47.2025604    7.68    4.14 
2187 3824.26  5287.37 202.4770660 47.2026062    6.94    3.51 
2188 3882.79  5289.01 202.4758759 47.2026291    6.56    3.88 
2189 4388.79  5290.31 202.4655304 47.2026482    6.72    3.90 
2190 1840.65  5306.46 202.5176239 47.2028618    6.78    3.71 
2191 1807.49  5307.12 202.5182953 47.2028732    8.06    4.17 
2192 4397.73  5309.49 202.4653473 47.2029152    6.94    4.12 
2193 2827.81  5310.80 202.4974365 47.2029305    8.06    3.97 
2194 5305.22  5311.87 202.4467926 47.2029457    6.52    3.06 
2195 3809.10  5315.36 202.4773712 47.2029953    6.88    3.39 
2196 2281.25  5317.57 202.5086060 47.2030220    7.76    3.88 
2197 3691.61  5317.52 202.4797821 47.2030258    6.76    3.25 
2198 6409.52  5318.94 202.4242096 47.2030373    7.28    4.02 
2199 6257.38  5324.57 202.4273224 47.2031136    8.06    4.42 
2200 4184.68  5326.33 202.4696960 47.2031479    8.01    4.49 
2201 2536.83  5327.08 202.5033875 47.2031555    7.76    4.46 
2202 2183.43  5329.63 202.5106201 47.2031860    8.06    4.24 
2203 6234.13  5331.24 202.4277954 47.2032089    8.36    4.76 
2204 6788.79  5330.18 202.4164581 47.2031898    6.54    3.74 
2205 1991.11  5333.04 202.5145416 47.2032318    6.86    3.56 
2206 6437.06  5333.06 202.4236450 47.2032318    6.82    3.63 
2207 5580.10  5333.68 202.4411774 47.2032471    6.40    3.43 
2208 4237.86  5335.48 202.4686127 47.2032738    6.54    3.32 
2209 3793.36  5341.56 202.4777069 47.2033577    6.40    3.85 
2210 3837.17  5341.43 202.4768066 47.2033577    6.88    4.08 
2211 3639.66  5343.28 202.4808350 47.2033844    6.00    3.65 
2212 4482.68  5342.43 202.4636078 47.2033730    6.54    3.21 
2213 3916.84  5344.08 202.4751740 47.2033958    6.94    3.53 
2214 2849.40  5347.90 202.4969940 47.2034454    8.06    3.94 
2215 6420.01  5348.40 202.4239960 47.2034454    6.78    3.17 
2216 3879.10  5350.69 202.4759521 47.2034874    6.76    3.98 
2217 5516.01  5349.64 202.4424744 47.2034683    6.58    3.23 
2218 5532.59  5350.31 202.4421387 47.2034760    6.74    3.81 
2219 3779.83  5355.19 202.4779816 47.2035484    6.56    3.46 
2220 4098.57  5356.70 202.4714661 47.2035713    6.54    3.01 
2221 4057.37  5357.29 202.4723053 47.2035789    6.88    3.13 
2222 5491.74  5357.52 202.4429779 47.2035789    6.76    3.87 
2223 1883.00  5360.22 202.5167542 47.2036095    9.01    4.69 
2224 3543.45  5361.46 202.4828033 47.2036362    6.72    3.25 
2225 2351.33  5363.24 202.5071869 47.2036552    6.40    3.22 
2226 3836.87  5364.41 202.4768066 47.2036781    6.02    3.50 
2227 7780.22  5363.77 202.3961945 47.2036438    8.41    5.06 
2228 5388.50  5374.93 202.4450836 47.2038193 -999.   -999.   
2229 3795.21  5368.44 202.4776611 47.2037315    6.90    3.96 
2230 3893.11  5368.16 202.4756622 47.2037277    6.74    3.55 
2231 5647.81  5367.88 202.4397888 47.2037201    6.78    3.34 
2232 1640.45  5369.12 202.5217133 47.2037315    7.81    4.36 
2233 3916.19  5368.92 202.4751892 47.2037392    6.42    4.68 
2234 4958.61  5371.97 202.4538727 47.2037811    6.82    3.42 
2235 2570.01  5373.33 202.5027161 47.2037964    8.41    4.34 
2236 3853.30  5372.82 202.4764709 47.2037926    6.00    4.38 
2237 6130.65  5373.61 202.4299164 47.2037964    8.26    5.12 
2238 5531.73  5375.54 202.4421539 47.2038269    6.68    3.07 
2239 2268.17  5378.98 202.5088806 47.2038727    8.31    4.40 
2240 5493.27  5380.26 202.4429474 47.2038918    6.94    3.51 
2241 7043.21  5382.27 202.4112549 47.2039108    8.06    4.54 
2242 4365.69  5383.46 202.4660034 47.2039413    9.23    5.65 
2243 5990.11  5382.42 202.4327850 47.2039223    8.06    4.11 
2244 2923.66  5384.75 202.4954834 47.2039566    6.78    3.73 
2245 4025.64  5385.56 202.4729462 47.2039719    6.78    2.97 
2246 6973.72  5386.77 202.4126740 47.2039719    6.52    3.07 
2247 3844.96  5388.97 202.4766388 47.2040176    6.42    3.71 
2248 5879.66  5391.21 202.4350433 47.2040443    8.06    3.84 
2249 4101.35  5392.72 202.4714050 47.2040710    6.58    3.57 
2250 3788.77  5396.44 202.4777985 47.2041206    6.94    3.45 
2251 2259.26  5397.63 202.5090637 47.2041321    8.91    5.75 
2252 3862.92  5398.49 202.4762726 47.2041512    6.42    3.06 
2253 2303.23  5399.05 202.5081635 47.2041512    8.06    4.35 
2254 4935.89  5400.31 202.4543457 47.2041740    6.78    3.41 
2255 3899.90  5401.72 202.4755249 47.2041931    6.54    3.17 
2256 4294.21  5406.82 202.4674530 47.2042656    6.80    3.54 
2257 2706.07  5409.45 202.4999237 47.2042999    8.06    3.90 
2258 3429.24  5410.39 202.4851379 47.2043152    6.86    3.23 
2259 4348.00  5409.72 202.4663544 47.2043076    6.94    3.63 
2260 1892.97  5411.39 202.5165558 47.2043190    7.68    4.30 
2261  353.08  5412.89 202.5480347 47.2043228   10.30    6.23 
2262 1845.59  5413.19 202.5175171 47.2043457    6.98    3.34 
2263 5470.54  5413.52 202.4434052 47.2043571    6.48    3.44 
2264 1443.05  5415.47 202.5257568 47.2043724    8.31    4.16 
2265 3927.76  5419.50 202.4749451 47.2044411    6.00    3.77 
2266 4916.65  5420.35 202.4547272 47.2044525    8.06    5.09 
2267 5583.15  5419.56 202.4411011 47.2044373    8.06    4.34 
2268 2349.64  5421.14 202.5072174 47.2044601    6.00    3.90 
2269  751.85  5422.03 202.5398865 47.2044563    8.06    4.06 
2270 2509.57  5424.98 202.5039520 47.2045135    7.53    4.35 
2271 2483.35  5427.99 202.5044861 47.2045555    8.61    4.27 
2272 3774.32  5430.62 202.4780884 47.2045975    6.96    4.42 
2273 2368.70  5431.34 202.5068207 47.2046013    8.36    4.17 
2274 4102.15  5432.43 202.4713898 47.2046204    9.68    5.46 
2275 1634.64  5433.51 202.5218353 47.2046242    7.57    4.31 
2276 3549.02  5434.29 202.4826965 47.2046471    6.78    3.13 
2277 4962.64  5434.31 202.4537964 47.2046471    8.06    4.10 
2278 1883.66  5437.61 202.5167389 47.2046852    6.80    3.18 
2279 6848.52  5436.96 202.4152374 47.2046700    9.01    4.85 
2280 3896.54  5438.68 202.4755859 47.2047081    6.96    3.57 
2281 5179.20  5439.23 202.4493713 47.2047157    8.96    4.76 
2282 5334.13  5447.75 202.4461975 47.2048302    6.90    3.23 
2283 6284.52  5449.04 202.4267731 47.2048454    8.61    4.56 
2284 5944.83  5454.47 202.4337158 47.2049217    8.06    3.94 
2285 3241.73  5456.56 202.4889832 47.2049561    8.41    4.08 
2286 3361.27  5463.15 202.4865265 47.2050476    6.88    4.23 
2287 6983.47  5462.69 202.4124756 47.2050285    6.78    2.98 
2288 4931.22  5465.18 202.4544373 47.2050743    6.80    3.42 
2289 1789.03  5472.96 202.5186768 47.2051735    6.78    3.21 
2290 5606.67  5475.40 202.4406281 47.2052155    7.74    3.95 
2291 2495.41  5477.32 202.5042419 47.2052383    8.06    3.88 
2292 4830.81  5479.09 202.4564819 47.2052689    9.57    5.07 
2293 3220.21  5482.54 202.4894104 47.2053146    8.36    4.25 
2294 4853.75  5482.31 202.4560242 47.2053146    7.54    4.04 
2295 6955.71  5484.45 202.4130402 47.2053299    6.78    3.01 
2296 5454.49  5484.91 202.4437408 47.2053490    9.16    4.55 
2297 1707.22  5489.71 202.5203552 47.2054062    6.78    2.87 
2298 7044.42  5495.47 202.4112396 47.2054825    8.31    4.22 
2299 5381.98  5497.08 202.4452209 47.2055168    6.74    3.40 
2300 2195.23  5501.51 202.5103760 47.2055740    7.96    4.77 
2301 2975.63  5505.76 202.4944153 47.2056389    6.78    3.41 
2302 6238.18  5508.77 202.4277191 47.2056732    8.21    4.22 
2303 2063.67  5511.39 202.5130615 47.2057114    6.78    3.39 
2304 4320.34  5511.57 202.4669189 47.2057190    7.91    4.11 
2305 3880.70  5512.85 202.4759216 47.2057381    7.28    4.11 
2306 4017.05  5515.18 202.4731293 47.2057724    7.18    4.58 
2307 1822.51  5517.04 202.5179901 47.2057877    7.86    4.47 
2308 5251.96  5519.32 202.4478760 47.2058258    8.91    4.41 
2309 1945.41  5524.04 202.5154877 47.2058868    6.56    4.28 
2310 5680.85  5530.04 202.4391174 47.2059746    8.31    4.26 
2311 3890.30  5532.98 202.4757233 47.2060165    6.86    4.20 
2312 6966.96  5534.46 202.4128113 47.2060242    8.06    3.88 
2313 5379.54  5537.61 202.4452667 47.2060814    6.86    3.76 
2314 4010.18  5540.52 202.4732666 47.2061234    6.78    3.01 
2315 3377.92  5545.94 202.4861908 47.2061958    6.78    3.33 
2316 4780.18  5545.90 202.4575195 47.2061958    6.88    3.99 
2317 5728.28  5547.06 202.4381409 47.2062073    8.36    4.12 
2318 4297.00  5548.05 202.4674072 47.2062263    6.38    4.05 
2319 4317.66  5549.96 202.4669800 47.2062531    6.56    3.75 
2320 6937.15  5550.51 202.4134216 47.2062454    8.06    4.51 
2321 6227.02  5550.65 202.4279480 47.2062569    8.11    4.03 
2322 3796.79  5553.05 202.4776306 47.2062950    6.76    4.12 
2323 1880.62  5558.84 202.5167999 47.2063675    6.78    3.30 
2324 3385.19  5562.55 202.4860382 47.2064285    6.58    2.96 
2325 5482.30  5563.25 202.4431763 47.2064362    9.92    5.44 
2326 1863.05  5566.25 202.5171661 47.2064705    6.76    3.28 
2327 2875.50  5566.91 202.4964600 47.2064857    6.56    2.94 
2328 5625.41  5567.50 202.4402466 47.2064934    8.06    4.10 
2329 1977.25  5568.81 202.5148315 47.2065086    6.02    3.56 
2330 4606.57  5570.34 202.4610748 47.2065353    7.96    4.13 
2331 3910.08  5572.39 202.4753113 47.2065659    6.88    4.39 
2332 3817.28  5575.62 202.4772034 47.2066116    6.78    3.45 
2333 4701.08  5577.86 202.4591370 47.2066422    6.90    3.24 
2334 5222.44  5581.28 202.4484863 47.2066879    6.00    4.13 
2335 4260.32  5583.84 202.4681549 47.2067261    6.78    3.75 
2336 4881.49  5584.05 202.4554596 47.2067261    8.06    4.18 
2337 4021.10  5585.01 202.4730377 47.2067413    7.91    4.01 
2338 3782.95  5588.34 202.4779053 47.2067871    6.02    3.86 
2339 2868.38  5591.08 202.4966125 47.2068214    6.52    2.97 
2340 3917.79  5592.89 202.4751587 47.2068520    7.57    5.77 
2341 5467.03  5594.27 202.4434814 47.2068672    6.84    4.00 
2342 5349.46  5595.73 202.4458923 47.2068863    6.00    3.88 
2343 4215.52  5597.85 202.4690704 47.2069206    6.76    3.68 
2344 5719.77  5598.45 202.4383087 47.2069244    6.64    3.37 
2345 1820.95  5599.05 202.5180206 47.2069244    6.66    3.39 
2346 3776.27  5608.27 202.4780426 47.2070618    8.31    4.26 
2347 4280.67  5610.98 202.4677429 47.2070999    7.49    3.97 
2348 6247.04  5610.40 202.4275360 47.2070847   10.30    6.24 
2349 3331.76  5612.80 202.4871368 47.2071266    6.70    3.42 
2350 6477.31  5612.20 202.4228210 47.2071075    8.61    4.15 
2351 3433.94  5613.57 202.4850464 47.2071381    8.86    4.72 
2352 1354.56  5614.62 202.5275574 47.2071381    8.61    4.40 
2353 1861.91  5614.74 202.5171967 47.2071457    6.86    3.51 
2354 5799.70  5617.18 202.4366760 47.2071838    6.52    3.48 
2355 3563.16  5621.43 202.4824066 47.2072449    6.52    3.25 
2356 2593.70  5623.65 202.5022278 47.2072716    7.91    4.20 
2357 5524.19  5623.16 202.4423065 47.2072678    8.06    4.04 
2358 1315.91  5625.39 202.5283508 47.2072868    6.32    3.38 
2359 4155.23  5625.79 202.4703064 47.2073059    6.58    3.54 
2360 4767.31  5627.94 202.4577942 47.2073364    7.81    4.01 
2361 1142.43  5629.17 202.5319061 47.2073364    6.40    3.55 
2362 1800.60  5629.73 202.5184479 47.2073517    6.54    4.10 
2363 5784.73  5629.67 202.4369812 47.2073555    6.72    3.30 
2364 3041.63  5632.77 202.4930725 47.2074013    9.23    4.76 
2365 5763.22  5632.03 202.4374237 47.2073898    6.40    3.66 
2366 1658.74  5633.48 202.5213470 47.2074013    8.36    4.59 
2367 5739.46  5634.41 202.4379120 47.2074203    6.58    3.46 
2368 5032.25  5635.90 202.4523773 47.2074471    6.86    3.14 
2369  789.65  5640.09 202.5391083 47.2074852    8.06    4.20 
2370 1307.18  5642.98 202.5285339 47.2075310    6.54    3.60 
2371 1705.21  5643.55 202.5204010 47.2075424    8.01    4.28 
2372 6489.36  5643.59 202.4225769 47.2075424    8.36    4.12 
2373 1630.03  5646.12 202.5219269 47.2075768    7.53    4.16 
2374 4135.18  5646.04 202.4707184 47.2075882    6.78    3.09 
2375 4700.92  5645.69 202.4591370 47.2075844    6.96    3.65 
2376 4356.52  5646.92 202.4661865 47.2075996    9.23    5.20 
2377 5480.11  5648.86 202.4432068 47.2076225    6.88    4.07 
2378 1600.89  5654.68 202.5225220 47.2076950    6.78    3.11 
2379 3546.91  5655.60 202.4827423 47.2077217    6.76    4.32 
2380 4714.73  5657.17 202.4588623 47.2077408    6.78    3.29 
2381 1574.19  5660.87 202.5230713 47.2077827    6.68    2.99 
2382 3058.56  5661.74 202.4927216 47.2078056    8.06    3.86 
2383 6443.56  5664.26 202.4235077 47.2078323    8.06    4.26 
2384 1775.82  5670.79 202.5189514 47.2079239    7.91    4.64 
2385 5984.65  5675.21 202.4328918 47.2079887    8.06    4.35 
2386 3525.04  5676.13 202.4831848 47.2080040    6.66    5.42 
2387 2419.40  5677.79 202.5057983 47.2080231    6.96    3.83 
